code,brand,fund_id,name
0197X0,SOL,211114,SOL SK하이닉스선물단일종목인버스2X
0199C0,ACE,K55101EV6285,ACE 고배당주Plus커버드콜액티브
0203D0,PLUS,006404,PLUS 200위클리커버드콜채권혼합
0207G0,SOL,211116,SOL 우주항공밸류체인
0209Z0,ACE,K55101EU2731,ACE 코리아AI전력TOP10
0210A0,ACE,K55101EW2275,ACE K반도체TOP2+
0210E0,PLUS,006407,PLUS 200커버드콜액티브
0216Z0,ACE,K55101EW2283,ACE K방산TOP5+
0218J0,RISE,44K7,RISE 미국우주&로봇TOP2미국채혼합50
0219E0,KODEX,0219E0,KODEX 200커버드콜액티브
0221Z0,ACE,K55101EW2317,ACE K바이오코스닥액티브
0223A0,RISE,44K8,RISE 코스닥커버드콜액티브
0226A0,PLUS,006408,PLUS SK하이닉스샌디스크채권혼합50
0227K0,RISE,44K9,RISE 미국우주위성통신
0228G0,ACE,K55101EY1762,ACE 반도체Plus전략산업
0233A0,ACE,K55101EY7603,ACE 삼성전자SK하이닉스플러스채권혼합50
0233N0,RISE,44L0,RISE 글로벌AI낸드메모리반도체
0239Y0,PLUS,006409,PLUS 코리아HBM반도체
0239Z0,PLUS,006410,PLUS AI반도체소부장액티브
069500,KODEX,069500,KODEX 200
091160,KODEX,091160,KODEX 반도체
091170,KODEX,091170,KODEX 은행
091180,KODEX,091180,KODEX 자동차
091220,TIGER,091220,TIGER 은행
091230,TIGER,091230,TIGER 반도체
099140,KODEX,099140,KODEX 차이나H
101280,KODEX,101280,KODEX 일본TOPIX 100
102110,TIGER,102110,TIGER 200
102780,KODEX,102780,KODEX 삼성그룹
102960,KODEX,102960,KODEX 기계장비
102970,KODEX,102970,KODEX 증권
105010,TIGER,105010,TIGER 라틴35
105190,ACE,KR5101877748,ACE 200
105780,RISE,4413,RISE 5대그룹주
108450,ACE,KR5101897761,ACE 삼성그룹섹터가중
114100,RISE,4427,RISE 국고채3년
114260,KODEX,114260,KODEX 국고채3년
114460,ACE,KR5101148215,ACE 국고채3년
114820,TIGER,114820,TIGER 국채3년
117460,KODEX,117460,KODEX 에너지화학
117680,KODEX,117680,KODEX 철강
117690,TIGER,117690,TIGER 차이나항셍30
117700,KODEX,117700,KODEX 건설
122090,PLUS,006181,PLUS 코스피50
123320,TIGER,123320,TIGER 레버리지
130680,TIGER,130680,TIGER 원유선물Enhanced(H)
131890,ACE,KR5101299273,ACE 삼성그룹동일가중
132030,KODEX,132030,KODEX 골드선물(H)
133690,TIGER,133690,TIGER 미국나스닥100
136340,RISE,4432,RISE 중기우량회사채
137610,TIGER,137610,TIGER 농산물선물Enhanced(H)
138520,TIGER,138520,TIGER 삼성그룹
138530,TIGER,138530,TIGER LG그룹플러스
138540,TIGER,138540,TIGER 현대차그룹플러스
138920,KODEX,138920,KODEX 콩선물(H)
139220,TIGER,139220,TIGER 200 건설
139230,TIGER,139230,TIGER 200 중공업
139240,TIGER,139240,TIGER 200 철강소재
139250,TIGER,139250,TIGER 200 에너지화학
139260,TIGER,139260,TIGER 200 IT
139270,TIGER,139270,TIGER 200 금융
139280,TIGER,139280,TIGER 경기방어
139290,TIGER,139290,TIGER 200 경기소비재
139320,TIGER,139320,TIGER 금은선물(H)
140570,RISE,4433,RISE 수출주
140580,RISE,4434,RISE 우량업종대표주
140700,KODEX,140700,KODEX 보험
140710,KODEX,140710,KODEX 운송
143850,TIGER,143850,TIGER 미국S&P500 선물(H)
143860,TIGER,143860,TIGER 헬스케어
144600,KODEX,144600,KODEX 은선물(H)
145670,ACE,KR5101A59767,ACE 인버스
147970,TIGER,147970,TIGER 모멘텀
148020,RISE,4435,RISE 200
150460,TIGER,150460,TIGER 중국소비테마
152100,PLUS,006184,PLUS 200
152380,KODEX,152380,KODEX 국채선물10년
152500,ACE,KR5101A62068,ACE 레버리지
153130,KODEX,153130,KODEX 단기채권
156080,KODEX,156080,KODEX MSCI KOREA
157450,TIGER,157450,TIGER 단기통안채
157490,TIGER,157490,TIGER 소프트웨어
157500,TIGER,157500,TIGER 증권
160580,TIGER,160580,TIGER 구리실물
161510,PLUS,006273,PLUS 고배당주
166400,TIGER,166400,TIGER 200 커버드콜OTM
168580,ACE,KR5101AD5756,ACE 중국본토CSI300
169950,KODEX,169950,KODEX 차이나A50
174350,TIGER,174350,TIGER 로우볼
174360,RISE,4437,RISE 중국본토대형주CSI100
176950,KODEX,176950,KODEX 국채선물10년 인버스
181480,ACE,KR5101AJ9786,ACE 미국부동산리츠(합성 H)
182480,TIGER,182480,TIGER 미국MSCI리츠(합성 H)
182490,TIGER,182490,TIGER 단기선진하이일드(합성 H)
183700,RISE,4440,RISE 채권혼합
183710,RISE,4439,RISE 주식혼합
189400,PLUS,006281,PLUS 글로벌MSCI(합성 H)
190620,ACE,KR5101AN3254,ACE 단기통안채
192090,TIGER,192090,TIGER 차이나CSI300
195920,TIGER,195920,TIGER 일본TOPIX (합성 H)
195930,TIGER,195930,TIGER 유로스탁스50 (합성 H)
195970,PLUS,006284,PLUS 선진국MSCI(합성 H)
195980,PLUS,006285,PLUS 신흥국MSCI(합성 H)
196030,ACE,KR5101AR9802,ACE 일본TOPIX레버리지(H)
196230,RISE,4441,RISE 단기통안채
203780,TIGER,203780,TIGER 미국나스닥바이오
204480,TIGER,204480,TIGER 차이나CSI300 레버리지(합성)
205720,ACE,KR5101AV1027,ACE 일본TOPIX인버스(합성 H)
210780,TIGER,210780,TIGER 코스피고배당
211560,TIGER,211560,TIGER 배당성장
211900,KODEX,211900,KODEX 코리아배당성장
213610,KODEX,213610,KODEX 삼성그룹밸류
213630,PLUS,006287,PLUS 미국다우존스고배당주(합성 H)
214980,KODEX,214980,KODEX 단기채권PLUS
217770,TIGER,217770,TIGER 원유선물인버스(H)
217780,TIGER,217780,TIGER 차이나CSI300 인버스(합성)
219390,RISE,4443,RISE 미국S&P원유생산기업(합성 H)
219480,KODEX,219480,KODEX 미국S&P500선물(H)
219900,ACE,K55101B26297,ACE 중국본토CSI300레버리지(합성)
220130,SOL,210367,SOL 차이나강소기업CSI500(합성H)
223190,KODEX,223190,KODEX 200 가치저변동
225030,TIGER,225030,TIGER 미국S&P500 선물인버스(H)
225040,TIGER,225040,TIGER 미국S&P500 레버리지(합성 H)
225050,TIGER,225050,TIGER 유로스탁스50 레버리지(합성H)
225060,TIGER,225060,TIGER 이머징마켓MSCI 레버리지(합성H)
225130,ACE,K55101B44423,ACE 골드선물 레버리지(합성 H)
226380,ACE,K55101B54539,ACE Fn성장소비주도주
226490,KODEX,226490,KODEX 코스피
226980,KODEX,226980,KODEX 200중소형
227540,TIGER,227540,TIGER 200 헬스케어
227550,TIGER,227550,TIGER 200 산업재
227560,TIGER,227560,TIGER 200 생활소비재
227570,TIGER,227570,TIGER 우량가치
227830,PLUS,006292,PLUS 코스피
228790,TIGER,228790,TIGER 화장품
228800,TIGER,228800,TIGER 여행레저
228810,TIGER,228810,TIGER 미디어컨텐츠
228820,TIGER,228820,TIGER KTOP30
229200,KODEX,229200,KODEX 코스닥 150
229720,KODEX,229720,KODEX KTOP 30
232080,TIGER,232080,TIGER 코스닥150
233160,TIGER,233160,TIGER 코스닥150 레버리지
234310,RISE,4444,RISE V&S셀렉트밸류
236350,TIGER,236350,TIGER 인도니프티50 레버리지(합성)
237350,KODEX,237350,KODEX 코스피100
237370,KODEX,237370,KODEX 코리아배당성장채권혼합
237440,TIGER,237440,TIGER 경기방어채권혼합
238670,PLUS,006294,PLUS 스마트베타Quality채권혼합
238720,ACE,K55101BA8230,ACE 일본Nikkei225(H)
239660,PLUS,006295,PLUS 우량회사채50
241180,TIGER,241180,TIGER 일본니케이225
241390,RISE,4445,RISE V&S셀렉트밸류채권혼합
243880,TIGER,243880,TIGER 200 IT레버리지
243890,TIGER,243890,TIGER 200 에너지화학레버리지
244580,KODEX,244580,KODEX 바이오
244620,KODEX,244620,KODEX 모멘텀PLUS
244660,KODEX,244660,KODEX 퀄리티PLUS
244670,KODEX,244670,KODEX 밸류PLUS
245340,TIGER,245340,TIGER 미국다우존스30
245350,TIGER,245350,TIGER 유로스탁스배당30
245360,TIGER,245360,TIGER 차이나HSCEI
245710,ACE,K55101BE0852,ACE 베트남VN30(합성)
248270,TIGER,248270,TIGER S&P 글로벌헬스케어(합성)
250730,RISE,4446,RISE 차이나HSCEI(H)
251350,KODEX,251350,KODEX MSCI선진국
251590,PLUS,006297,PLUS 고배당저변동50
251600,PLUS,006298,PLUS 고배당주채권혼합
252000,TIGER,252000,TIGER 200 동일가중
252400,RISE,4447,RISE 200선물레버리지
252410,RISE,4448,RISE 200선물인버스
252420,RISE,4449,RISE 200선물인버스2X
252650,KODEX,252650,KODEX 200 동일가중
253150,PLUS,006300,PLUS 200선물레버리지
253160,PLUS,006299,PLUS 200선물인버스2X
253280,RISE,4450,RISE 헬스케어
253290,RISE,4451,RISE 헬스케어채권혼합
256440,ACE,K55101BI4108,ACE MSCI인도네시아(합성)
256450,PLUS,006302,PLUS 심천차이넥스트(합성)
261060,TIGER,261060,TIGER 코스닥150 IT
261070,TIGER,261070,TIGER 코스닥150 바이오테크
261110,TIGER,261110,TIGER 미국달러선물레버리지
261120,TIGER,261120,TIGER 미국달러선물인버스2X
261140,TIGER,261140,TIGER 우선주
261240,KODEX,261240,KODEX 미국달러선물
261250,KODEX,261250,KODEX 미국달러선물 레버리지
261920,ACE,K55101BJ5096,ACE MSCI필리핀(합성)
265690,ACE,K55101BM2890,ACE 러시아MSCI(합성)
266160,RISE,4454,RISE 고배당
266360,KODEX,266360,KODEX K콘텐츠
266370,KODEX,266370,KODEX IT
266390,KODEX,266390,KODEX 경기소비재
266410,KODEX,266410,KODEX 필수소비재
266420,KODEX,266420,KODEX 헬스케어
266550,PLUS,006304,PLUS 중형주저변동50
267440,RISE,4455,RISE 미국장기국채선물(H)
267450,RISE,4456,RISE 미국장기국채선물인버스(H)
267490,RISE,4457,RISE 미국장기국채선물레버리지(합성 H)
267770,TIGER,267770,TIGER 200 선물레버리지
269370,TIGER,269370,TIGER S&P글로벌인프라(합성)
269420,KODEX,269420,KODEX S&P글로벌인프라(합성)
269530,PLUS,006305,PLUS S&P글로벌인프라
269540,PLUS,006306,PLUS 미국S&P500(H)
270800,RISE,4462,RISE KQ고배당
270810,RISE,4459,RISE 코스닥150
272560,RISE,4460,RISE 단기국공채액티브
272570,RISE,4461,RISE 중장기국공채액티브
272580,TIGER,272580,TIGER 단기채권액티브
